2026-05-04 20:54:54 | Controller | INFO | controller.py:1299 | [exp2-rapidfire-full-evaluation:Controller] Pipeline 26 completed shard 0 (1 batches, 10.04s)
2026-05-04 20:54:54 | Controller | INFO | controller.py:1422 | [exp2-rapidfire-full-evaluation:Controller] Scheduling pipeline 27 (Pipeline 27) on actor 0 for shard 0 (1 batches)
2026-05-04 20:54:54 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [exp2-rapidfire-full-evaluation:QueryProcessingActor-0] Reusing existing inference engine (config hash: c609a214)
2026-05-04 20:54:54 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [exp2-rapidfire-full-evaluation:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-04 20:54:54 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [exp2-rapidfire-full-evaluation:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 20:54:54 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [exp2-rapidfire-full-evaluation:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-04 20:54:54 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [exp2-rapidfire-full-evaluation:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-04 20:54:54 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [exp2-rapidfire-full-evaluation:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-04 20:54:55 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-04 20:54:56 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [exp2-rapidfire-full-evaluation:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-04 20:55:06 | Controller | INFO | controller.py:1299 | [exp2-rapidfire-full-evaluation:Controller] Pipeline 27 completed shard 0 (1 batches, 10.04s)
2026-05-04 20:55:06 | Controller | INFO | controller.py:1422 | [exp2-rapidfire-full-evaluation:Controller] Scheduling pipeline 28 (Pipeline 28) on actor 0 for shard 0 (1 batches)
2026-05-04 20:55:06 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [exp2-rapidfire-full-evaluation:QueryProcessingActor-0] Reusing existing inference engine (config hash: c609a214)
2026-05-04 20:55:06 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [exp2-rapidfire-full-evaluation:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-04 20:55:06 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [exp2-rapidfire-full-evaluation:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 20:55:06 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [exp2-rapidfire-full-evaluation:QueryProcessingActor-0] Deserializing FAISS index for this actor...
